architecture,activation,solver,iterations,random_state,train_accuracy,test_accuracy,time,formatted_time,converged,timestamp
(),relu,lbfgs,1000,11,100.00%,98.42%,107.884917974472,1m 47.88s,Yes,2024-11-29 05:44:14
"(5,)",relu,lbfgs,1000,11,99.45%,99.09%,588.139319896698,9m 48.14s,Yes,2024-11-29 05:54:03
"(10,)",relu,lbfgs,1000,11,99.85%,99.22%,103.044061422348,1m 43.04s,Yes,2024-11-29 05:55:47
"(5, 5)",relu,lbfgs,1000,11,99.14%,98.97%,151.549969673157,2m 31.55s,Yes,2024-11-29 05:58:19
"(10, 5)",relu,lbfgs,1000,11,99.87%,99.22%,128.204924345016,2m 8.20s,Yes,2024-11-29 06:00:28
"(10, 10, 5)",relu,lbfgs,1000,11,99.95%,99.33%,361.234533309937,6m 1.23s,Yes,2024-11-29 06:06:30
(),tanh,lbfgs,1000,11,100.00%,98.42%,102.383652687073,1m 42.38s,Yes,2024-11-29 06:08:13
"(5,)",tanh,lbfgs,1000,11,98.85%,98.56%,418.548714399338,6m 58.55s,Yes,2024-11-29 06:15:13
"(10,)",tanh,lbfgs,1000,11,99.68%,99.00%,978.633489370346,16m 18.63s,Yes,2024-11-29 06:31:32
"(5, 5)",tanh,lbfgs,1000,11,99.01%,98.86%,1052.08165836334,17m 32.08s,Yes,2024-11-29 06:49:05
"(10, 5)",tanh,lbfgs,1000,11,99.50%,99.17%,1217.60000157356,20m 17.60s,Yes,2024-11-29 07:09:23
"(10, 10, 5)",tanh,lbfgs,1000,11,99.53%,98.86%,55412.1139941216,923m 32.11s,Yes,2024-11-29 22:33:01
