architecture,activation,train_accuracy,test_accuracy,time,timestamp,converged
(),relu,1.0,0.984206,97.389526,2024-11-26 20:10:02,Yes
"(5,)",relu,0.990947,0.989194,327.913568,2024-11-26 20:10:02,Yes
"(10,)",relu,0.998522,0.992242,87.673059,2024-11-26 20:10:02,Yes
"(5, 5)",relu,0.991409,0.989748,210.90379,2024-11-26 20:10:02,Yes
"(10, 5)",relu,0.998707,0.992242,214.7062,2024-11-26 20:10:02,Yes
"(10, 10, 5)",relu,0.999538,0.99335,339.795,2024-11-26 20:10:02,Yes
(),tanh,1.0,0.984206,110.589755,2024-11-26 20:10:02,Yes
"(5,)",tanh,0.988453,0.985592,412.757342,2024-11-26 20:10:02,Yes
"(10,)",tanh,0.993626,0.987254,489.803316,2024-11-26 20:10:02,Yes
"(5, 5)",tanh,0.987898,0.987254,707.535305,2024-11-26 20:10:02,Yes
"(10, 5)",tanh,0.992702,0.990025,655.372298,2024-11-26 20:10:02,Yes
"(10, 10, 5)",tanh,0.992517,0.98864,940.858797,2024-11-26 20:10:02,Yes
