pair,model,architecture,solver,iterations,train_accuracy (%),test_accuracy (%),time (min:sec),converged,timestamp
7-3,SVC,N/A,linear,N/A,100.0000,98.1158,0:2.54,Yes,2024-12-17 13:17:14
7-3,NN,(),lbfgs,5000,100.0000,98.0327,0:1.64,Yes,2024-12-17 13:17:16
7-3,NN,"(20,)",lbfgs,5000,99.9908,99.3904,0:3.78,Yes,2024-12-17 13:17:20
7-3,NN,"(5, 5, 5)",lbfgs,5000,99.8430,98.5314,0:5.29,Yes,2024-12-17 13:17:25
4-5,SVC,N/A,linear,N/A,100.0000,98.4779,0:2.06,Yes,2024-12-17 13:17:28
4-5,NN,(),lbfgs,5000,100.0000,98.6301,0:1.09,Yes,2024-12-17 13:17:29
4-5,NN,"(20,)",lbfgs,5000,100.0000,99.6043,0:0.93,Yes,2024-12-17 13:17:30
4-5,NN,"(5, 5, 5)",lbfgs,5000,99.9594,99.4825,0:3.26,Yes,2024-12-17 13:17:33
0-1,SVC,N/A,linear,N/A,100.0000,99.7294,0:0.51,Yes,2024-12-17 13:17:34
0-1,NN,(),lbfgs,5000,100.0000,99.7294,0:0.19,Yes,2024-12-17 13:17:34
0-1,NN,"(20,)",lbfgs,5000,100.0000,99.8376,0:0.75,Yes,2024-12-17 13:17:35
0-1,NN,"(5, 5, 5)",lbfgs,5000,100.0000,99.8376,0:3.69,Yes,2024-12-17 13:17:39
