Run,Random State,Train Size %,Train Accuracy,Test Accuracy
1,255,79.4,1.000,0.857
2,644,71.0,1.000,0.837
3,677,71.6,1.000,0.840
4,72,77.8,1.000,0.823
5,867,78.6,1.000,0.844
6,575,73.6,1.000,0.851
7,122,77.0,1.000,0.761
8,437,70.1,1.000,0.829
9,941,72.9,1.000,0.855
10,992,78.0,1.000,0.777
11,4,76.6,1.000,0.857
12,68,74.6,1.000,0.822
13,857,70.6,1.000,0.832
14,376,78.4,1.000,0.855
15,770,79.8,1.000,0.845
16,65,70.2,1.000,0.841
17,719,77.8,1.000,0.850
18,778,72.4,1.000,0.857
19,821,70.1,1.000,0.809
20,370,79.1,1.000,0.774
